tradeday_ID,Symbol,Open,High,Low,Close,Date,Weekday
22285,SPX,2170.94,2179.99,2170.94,2177.18,2016-09-23,Friday
22286,SPX,2173.29,2173.75,2163.97,2164.69,2016-09-26,Monday
22287,SPX,2158.54,2158.54,2145.04,2146.1,2016-09-27,Tuesday
22288,SPX,2146.04,2161.13,2141.55,2159.93,2016-09-28,Wednesday
22289,SPX,2161.85,2172.4,2151.79,2171.37,2016-09-29,Thursday
22290,SPX,2168.9,2172.67,2145.2,2151.13,2016-09-30,Friday
22291,SPX,2156.51,2175.3,2156.51,2168.27,2016-10-03,Monday
22292,SPX,2164.33,2164.41,2154.77,2161.2,2016-10-04,Tuesday
22293,SPX,2163.37,2165.46,2144.01,2150.49,2016-10-05,Wednesday
22294,SPX,2155.15,2163.95,2155.15,2159.73,2016-10-06,Thursday
22295,SPX,2158.22,2162.93,2150.28,2160.77,2016-10-07,Friday
22296,SPX,2164.19,2165.86,2144.85,2153.74,2016-10-10,Monday
22297,SPX,2160.39,2169.6,2160.39,2163.66,2016-10-11,Tuesday
22298,SPX,2161.35,2161.56,2128.84,2136.73,2016-10-12,Wednesday
22299,SPX,2137.67,2145.36,2132.77,2139.18,2016-10-13,Thursday
22300,SPX,2130.26,2138.19,2114.72,2132.55,2016-10-14,Friday
22301,SPX,2139.68,2149.19,2132.98,2132.98,2016-10-17,Monday
22302,SPX,2132.95,2135.61,2124.43,2126.5,2016-10-18,Tuesday
22303,SPX,2138.31,2144.38,2135.49,2139.6,2016-10-19,Wednesday
22304,SPX,2140.81,2148.44,2138.15,2144.29,2016-10-20,Thursday
22305,SPX,2142.51,2147.18,2133.44,2141.34,2016-10-21,Friday
22306,SPX,2139.43,2142.63,2130.09,2141.16,2016-10-24,Monday
22307,SPX,2148.5,2154.79,2146.91,2151.33,2016-10-25,Tuesday
22308,SPX,2149.72,2151.44,2141.93,2143.16,2016-10-26,Wednesday
22309,SPX,2136.97,2145.73,2131.59,2139.43,2016-10-27,Thursday
22310,SPX,2144.06,2147.13,2132.52,2133.04,2016-10-28,Friday
22311,SPX,2132.23,2140.72,2119.36,2126.41,2016-10-31,Monday
22312,SPX,2129.78,2133.25,2125.53,2126.15,2016-11-01,Tuesday
22313,SPX,2128.68,2131.45,2097.85,2111.72,2016-11-02,Wednesday
22314,SPX,2109.43,2111.76,2094.0,2097.94,2016-11-03,Thursday
22315,SPX,2098.8,2102.56,2085.23,2088.66,2016-11-04,Friday
22316,SPX,2083.79,2099.07,2083.79,2085.18,2016-11-07,Monday
22317,SPX,2100.59,2132.0,2100.59,2131.52,2016-11-08,Tuesday
22318,SPX,2129.92,2146.87,2123.56,2139.56,2016-11-09,Wednesday
22319,SPX,2131.56,2170.1,2125.35,2163.26,2016-11-10,Thursday
22320,SPX,2167.49,2182.3,2151.17,2167.48,2016-11-11,Friday
22321,SPX,2162.71,2165.92,2152.49,2164.45,2016-11-14,Monday
22322,SPX,2165.64,2171.36,2156.08,2164.2,2016-11-15,Tuesday
22323,SPX,2168.29,2180.84,2166.38,2180.39,2016-11-16,Wednesday
22324,SPX,2177.53,2179.22,2172.2,2176.94,2016-11-17,Thursday
22325,SPX,2178.61,2188.06,2176.65,2187.12,2016-11-18,Friday
22326,SPX,2186.85,2189.89,2180.38,2181.9,2016-11-21,Monday
22327,SPX,2186.43,2198.7,2186.43,2198.18,2016-11-22,Tuesday
22328,SPX,2201.56,2204.8,2194.51,2202.94,2016-11-23,Wednesday
22329,SPX,2198.55,2204.72,2194.51,2204.72,2016-11-25,Friday
22330,SPX,2206.27,2213.35,2206.27,2213.35,2016-11-28,Monday
22331,SPX,2210.21,2211.14,2200.36,2201.72,2016-11-29,Tuesday
22332,SPX,2200.76,2210.46,2198.15,2204.66,2016-11-30,Wednesday
22333,SPX,2204.97,2214.1,2198.81,2198.81,2016-12-01,Thursday
22334,SPX,2200.17,2202.6,2187.44,2191.08,2016-12-02,Friday
22335,SPX,2191.12,2197.95,2188.37,2191.95,2016-12-05,Monday
22336,SPX,2200.65,2209.42,2199.97,2204.71,2016-12-06,Tuesday
22337,SPX,2207.26,2212.78,2202.21,2212.23,2016-12-07,Wednesday
22338,SPX,2210.72,2241.63,2208.93,2241.35,2016-12-08,Thursday
22339,SPX,2241.13,2251.69,2237.57,2246.19,2016-12-09,Friday
22340,SPX,2249.73,2259.8,2249.23,2259.53,2016-12-12,Monday
22341,SPX,2258.83,2264.03,2252.37,2256.96,2016-12-13,Tuesday
22342,SPX,2263.32,2277.53,2263.32,2271.72,2016-12-14,Wednesday
22343,SPX,2268.35,2276.2,2248.44,2253.28,2016-12-15,Thursday
22344,SPX,2253.77,2272.12,2253.77,2262.03,2016-12-16,Friday
22345,SPX,2266.81,2268.05,2254.24,2258.07,2016-12-19,Monday
22346,SPX,2259.24,2267.47,2258.21,2262.53,2016-12-20,Tuesday
22347,SPX,2266.5,2272.56,2266.14,2270.76,2016-12-21,Wednesday
22348,SPX,2270.54,2271.23,2265.15,2265.18,2016-12-22,Thursday
22349,SPX,2262.93,2263.18,2256.08,2260.96,2016-12-23,Friday
22350,SPX,2260.25,2263.79,2258.84,2263.79,2016-12-27,Tuesday
22351,SPX,2266.23,2273.82,2266.15,2268.88,2016-12-28,Wednesday
22352,SPX,2270.23,2271.31,2249.11,2249.92,2016-12-29,Thursday
22353,SPX,2249.5,2254.51,2244.56,2249.26,2016-12-30,Friday
22354,SPX,2251.61,2253.58,2233.62,2238.83,2017-01-03,Tuesday
22355,SPX,2251.57,2263.88,2245.13,2257.83,2017-01-04,Wednesday
22356,SPX,2261.6,2272.82,2261.6,2270.75,2017-01-05,Thursday
22357,SPX,2268.18,2271.5,2260.45,2269.0,2017-01-06,Friday
22358,SPX,2271.14,2282.1,2264.06,2276.98,2017-01-09,Monday
22359,SPX,2273.59,2275.49,2268.9,2268.9,2017-01-10,Tuesday
22360,SPX,2269.72,2279.27,2265.27,2268.9,2017-01-11,Wednesday
22361,SPX,2268.6,2275.32,2260.83,2275.32,2017-01-12,Thursday
22362,SPX,2271.14,2271.78,2254.25,2270.44,2017-01-13,Friday
22363,SPX,2272.74,2278.68,2271.51,2274.64,2017-01-17,Tuesday
22364,SPX,2269.14,2272.08,2262.81,2267.89,2017-01-18,Wednesday
22365,SPX,2269.14,2272.01,2263.35,2271.89,2017-01-19,Thursday
22366,SPX,2271.9,2274.33,2258.41,2263.69,2017-01-20,Friday
22367,SPX,2269.96,2276.96,2265.01,2271.31,2017-01-23,Monday
22368,SPX,2267.78,2271.78,2257.02,2265.2,2017-01-24,Tuesday
22369,SPX,2267.88,2284.63,2266.68,2280.07,2017-01-25,Wednesday
22370,SPX,2288.88,2299.55,2288.88,2298.37,2017-01-26,Thursday
22371,SPX,2298.63,2300.99,2294.08,2296.68,2017-01-27,Friday
22372,SPX,2299.02,2299.02,2291.62,2294.69,2017-01-30,Monday
22373,SPX,2286.01,2286.01,2268.04,2280.9,2017-01-31,Tuesday
22374,SPX,2274.02,2279.09,2267.21,2278.87,2017-02-01,Wednesday
22375,SPX,2285.59,2289.14,2272.44,2279.55,2017-02-02,Thursday
